label,text
spam,"CONGRATULATIONS! You've won a $500 Amazon gift card. Click to claim your prize now!"
ham,"Can you send me the updated version of the spreadsheet? I need it for tomorrow's meeting."
spam,"Your computer is running slow. Download our optimization software for free speed boost."
ham,"I'll be working from home tomorrow. Feel free to call my cell if you need anything."
spam,"URGENT: Your electricity bill is overdue. Pay now to avoid service disconnection."
ham,"Great seeing you at the conference. Let's stay in touch and collaborate in the future."
spam,"You've been pre-qualified for a home loan. No income verification needed. Apply today!"
ham,"The client loved our proposal! They want to move forward. Great work everyone!"
spam,"Your DHL package is waiting. Pay customs fee of $5 to receive your delivery."
ham,"I've scheduled the training session for next Wednesday. Please confirm your attendance."
spam,"BREAKING NEWS: New cryptocurrency will make early investors millionaires. Invest now!"
ham,"Thanks for covering my shift yesterday. I owe you one. Let me know how I can return the favor."
spam,"Your Apple ID has been locked. Unlock it immediately by verifying your payment information."
ham,"The office will be closed for maintenance this Saturday. Plan accordingly."
spam,"Get free government money! Billions in unclaimed benefits. Check if you qualify now!"
ham,"I've attached the signed contract. Please file it with the other project documents."
spam,"WINNER! You've won a luxury vacation package worth $10,000. Book within 48 hours!"
ham,"Don't forget to backup your files before the system maintenance this weekend."
spam,"Your tax return has been approved. Claim your refund of $3,500 by clicking here."
ham,"I'll send you the meeting notes from yesterday's call. Let me know if I missed anything."
spam,"ALERT: Your Social Security number has been suspended. Call immediately to reactivate."
ham,"The team lunch is scheduled for Friday at noon. We're going to the Italian place downtown."
spam,"You've been selected for a free cruise! Just pay a small processing fee to book."
ham,"Can you review this draft and let me know if it needs any changes? Thanks in advance."
spam,"Your email storage is 99% full. Upgrade now to avoid losing important messages."
ham,"I've updated the project timeline based on our discussion. Please review when you can."
spam,"URGENT: Your streaming service subscription has failed. Update payment method now."
ham,"Thanks for the recommendation. I reached out to them and had a great conversation."
spam,"You've inherited property in Africa. Send $1000 for legal fees to claim your estate."
ham,"The quarterly review is next month. Please start gathering your accomplishments and goals."
spam,"Your computer has been locked by the FBI. Pay fine immediately to unlock your files."
ham,"I'll be in the office late today finishing up the report. See you tomorrow!"
spam,"FREE GIFT CARDS! Participate in our survey and receive a $100 gift card instantly."
ham,"The job candidate you recommended was excellent. We're moving forward with an offer."
spam,"Your student loan debt can be forgiven! Click here to see if you qualify for relief."
ham,"I've reserved a table at the restaurant for 7 PM. See you all there!"
spam,"FINAL WARNING: Your domain name is expiring. Renew now to avoid losing your website."
ham,"Thanks for your flexibility with the schedule changes. I really appreciate your understanding."
spam,"You've won the Publishers Clearing House sweepstakes! Claim $5 million now!"
ham,"The software training is next Tuesday. I've enrolled you and sent the calendar invite."
spam,"URGENT: Your online banking access has been suspended. Reactivate immediately."
ham,"I've finished reviewing the document. Overall it looks great, just a few minor comments."
spam,"Get out of debt fast! Our program eliminates credit card debt in just 90 days."
ham,"The project kickoff meeting is scheduled for next Monday morning at 9 AM."
spam,"Your prescription is ready! Click here to order refills with free home delivery."
ham,"Can we reschedule our meeting to Thursday? Something urgent came up on Wednesday."
spam,"ALERT: Your vehicle registration has expired. Renew online now to avoid penalties."
ham,"I've sent you the access credentials for the new system. Let me know when you're logged in."
spam,"You've been approved for a personal loan of $20,000. No credit check required!"
ham,"The holiday party is December 15th. Please RSVP by the end of next week."
spam,"Your iPhone has been hacked! Download our security app immediately to protect yourself."
ham,"Great news! The budget for next year has been approved. We can proceed with our plans."
spam,"CONGRATULATIONS! You're eligible for a $2000 government stimulus payment. Claim it now!"
ham,"I'll be taking a vacation day on Friday. Please email me if anything urgent comes up."
spam,"Your Gmail account will be closed. Confirm your identity within 24 hours to keep it active."
ham,"Thanks for the update. Please keep me posted on any new developments."
spam,"FINAL NOTICE: You have unclaimed insurance benefits worth $5000. Collect them now!"
ham,"The new employee starts Monday. I've prepared an onboarding schedule for their first week."
spam,"Your computer is infected! Click here to download antivirus and remove 47 threats."
ham,"I've reviewed your proposal and it looks solid. Let's discuss the budget tomorrow."
spam,"FREE MONEY ALERT! The government owes you a tax refund. Find out how much!"
ham,"Don't forget about daylight saving time this weekend. Remember to adjust your clocks."
spam,"Your Netflix account needs verification. Click here or service will be terminated."
ham,"The IT department will be performing network maintenance tonight from 10 PM to 2 AM."
spam,"You've won a brand new Tesla! Click here to claim your prize before time runs out."
ham,"I'll be attending the conference next week. Let me know if you need me to bring anything back."
spam,"URGENT: Your email password has expired. Reset it now to continue receiving messages."
ham,"Thanks for your contribution to the project. Your expertise really made a difference."
spam,"Get a free smartphone! Just pay shipping and handling of $19.99. Limited time offer!"
ham,"The performance reviews are due next month. Please schedule time with your team members."
spam,"Your credit score has dropped! Click here to see why and fix it immediately."
ham,"I've attached the photos from the team building event. Feel free to share them."
spam,"BREAKING: New weight loss discovery! Lose weight without diet or exercise. Order now!"
ham,"Can you help train the new hire on our system? They start next Monday."
spam,"Your Amazon Prime membership is expiring! Renew now to keep your benefits."
ham,"The conference room booking system has been updated. Please review the new procedure."
spam,"You've been selected for a clinical trial. Earn $5000 for participating. Sign up now!"
ham,"I've ordered lunch for the team meeting tomorrow. Let me know if you have dietary restrictions."
spam,"ALERT: Your Facebook account shows suspicious login attempts. Verify your identity now!"
ham,"Thanks for staying late to help with the deadline. Your dedication is truly appreciated."
spam,"Your computer warranty is expiring! Renew now for only $299 per year."
ham,"I've compiled the feedback from the client meeting. Let's discuss next steps tomorrow."
spam,"FINAL CHANCE: Claim your share of the class action settlement. You may be owed money!"
ham,"The office supplies order has arrived. I've stocked the supply room."
spam,"Your email account has been selected for upgrade to premium. Click here to activate."
ham,"Can you review the attached budget proposal and provide your input by Friday?"
spam,"You qualify for social security disability benefits! Find out how much you can receive."
ham,"I've updated the shared calendar with all the important dates for next quarter."
spam,"URGENT: Your credit card payment is overdue. Pay now to avoid late fees and penalties."
ham,"Thanks for your patience during the transition period. Everything should be back to normal now."
spam,"Your smartphone is eligible for upgrade! Get the latest model for free. Click to claim."
ham,"The training materials are ready. I'll distribute them at the beginning of the session."
spam,"You've won a luxury watch worth $5000! Claim your prize within 24 hours."
ham,"I'll be out sick tomorrow. Please contact Tom if you need anything urgent."
spam,"ALERT: Your bank account has unusual activity. Verify your transactions immediately."
ham,"The client presentation went very well. I think we have a good chance of winning this contract."
spam,"Your computer needs immediate maintenance! Download our tool to fix 156 errors."
ham,"I've scheduled the team meeting for next Friday at 2 PM. Please mark your calendars."
spam,"CONGRATULATIONS! You've been approved for a $50,000 credit line. Accept offer now!"
ham,"Thanks for the quick response. That information was exactly what I needed."
spam,"Your electricity bill is overdue by $0.01. Pay immediately to avoid service disconnection."
ham,"The project has been completed successfully. Thanks to everyone for their hard work!"
spam,"You've been chosen for a free trip to Las Vegas! Just attend a 90-minute presentation."
ham,"I've reviewed the contract and everything looks good. We're ready to sign whenever they are."
spam,"FINAL WARNING: Your website will be suspended. Renew your hosting immediately."
ham,"Don't forget about the early dismissal next Friday for the company event."
spam,"Your tax refund is being held! Click here to release your payment of $4200."
ham,"I've prepared the agenda for tomorrow's meeting. Let me know if you want to add anything."
spam,"URGENT: Your email account storage is full. Upgrade now to continue receiving mail."
ham,"Thanks for the referral. I spoke with them and it seems like a great opportunity."
spam,"You've won free cryptocurrency! Claim your 2.5 Bitcoin before someone else does."
ham,"The printer is being serviced tomorrow morning. Please plan your printing accordingly."
spam,"Your iTunes account has been charged $499. Click here if you didn't make this purchase."
ham,"I've finished the first draft of the proposal. Would you mind reviewing it when you have time?"
spam,"ALERT: Your identity has been stolen! Purchase our protection service immediately."
ham,"The team building exercise was great! Thanks for organizing such a fun and productive event."
spam,"Your package is being held at customs. Pay $15 fee immediately or it will be returned."
ham,"I'll send you the updated spreadsheet later today after I verify all the numbers."
spam,"CONGRATULATIONS! You're the 1,000,000th visitor! Claim your prize now!"
ham,"Thanks for covering that meeting for me. I owe you lunch. Let me know when you're free."
spam,"Your Windows license has been revoked! Reactivate now to avoid losing your data."
ham,"The new policy manual is available on the company intranet. Please review it at your convenience."
spam,"You've been selected for a government grant! Claim up to $50,000 in free money."
ham,"I've booked your travel arrangements. The itinerary is attached to this email."
spam,"URGENT: Your antivirus subscription has expired. Renew now or your computer is at risk!"
ham,"The project milestone has been reached ahead of schedule. Excellent work team!"
spam,"Your student loans can be forgiven completely! See if you qualify for debt elimination."
ham,"I'll be working remotely this week. You can reach me by email or phone anytime."
spam,"FINAL NOTICE: Your car insurance is being cancelled. Renew immediately to maintain coverage."
ham,"Thanks for the heads up about that issue. I've already started working on a solution."
spam,"You've inherited money from a Nigerian prince! Send $500 for processing to claim $10 million."
ham,"The quarterly goals have been set. Let's meet next week to discuss how we'll achieve them."
spam,"Your online account has been locked due to security breach. Reset password immediately!"
ham,"I've reviewed your work and it's excellent. This is exactly what we needed."
spam,"FREE iPhone 15 Pro Max! Just complete this quick survey to receive your phone."
ham,"The system upgrade has been completed successfully. Please let me know if you experience any issues."
spam,"URGENT: IRS lawsuit filed against you! Call immediately to settle or face arrest."
ham,"I really enjoyed working with you on this project. Looking forward to our next collaboration."
spam,"Your Microsoft Office license has expired! Renew within 24 hours to keep using Word and Excel."
ham,"The meeting minutes from yesterday are attached. Please review and let me know of any corrections."
spam,"You've won a $1000 gift card to Target! Click here to claim before it expires."
ham,"I've updated the project status report. Everything is on track for the deadline."
spam,"ALERT: Your email will be deleted in 24 hours. Verify your account now to prevent loss."
ham,"Thanks for the feedback on my presentation. I'll incorporate your suggestions for next time."
spam,"Get free dental insurance! No enrollment fee, no waiting period. Sign up today!"
ham,"The team lunch was great. Thanks for organizing it and picking such a nice restaurant."
spam,"Your refund of $876.54 is ready! Click here to deposit it directly to your bank account."
ham,"I've compiled the data you requested. The report is attached to this email."
spam,"URGENT: Your Social Security benefits are being reduced! Appeal now to maintain payments."
ham,"Can you help me prepare for the client presentation next week? I'd value your input."
spam,"You've been approved for food stamps! Click here to see how much you'll receive monthly."
ham,"The new hire orientation is next Monday. I've prepared all the welcome materials."
spam,"Your computer is mining Bitcoin for hackers! Download our software to stop them now."
ham,"I've reviewed the contract terms and they look fair. I recommend we proceed."
spam,"FINAL CHANCE: Claim your unclaimed property worth thousands! Search the database now."
ham,"Thanks for your continued support and collaboration. It makes my job so much easier."
spam,"Your email account has won $2.5 million in the Microsoft lottery! Claim your prize now."
ham,"The office holiday schedule has been posted. Please submit your vacation requests by next week."
spam,"URGENT: Your Netflix payment has failed! Update your card details or account will close."
ham,"I've set up the video conference for tomorrow's meeting. The link is in your calendar invite."
spam,"You've been selected for a free Caribbean cruise! Just pay port taxes of $199."
ham,"Thanks for your quick turnaround on that request. You really saved the day!"
spam,"Your Amazon Prime account needs verification! Click here within 12 hours to avoid suspension."
ham,"I've created a shared folder for the project documents. You should have access now."
spam,"CONGRATULATIONS! You qualify for $6000 in grocery vouchers! Claim before midnight."
ham,"The monthly team meeting is next Thursday. I'll send out the agenda early next week."
spam,"Your Apple warranty has expired! Renew now for only $399 per year for full coverage."
ham,"I'll be attending the workshop next week. I'll share what I learn when I get back."
spam,"ALERT: Your credit report shows errors! Click here to dispute and improve your score."
ham,"Thanks for being so flexible with the schedule changes. I really appreciate your understanding."
spam,"Your PayPal account has suspicious activity! Confirm your identity now to prevent closure."
ham,"The project documentation is complete. I've saved it in the shared drive for everyone."
spam,"FREE MONEY! The government is giving away billions in coronavirus relief. Get yours now!"
ham,"I've scheduled the follow-up meeting with the client for next Tuesday at 10 AM."
spam,"Your computer's performance is degraded! Download our optimizer for instant speed boost."
ham,"Thanks for your mentorship this year. I've learned so much working with you."
spam,"URGENT: Your electricity service will be disconnected today! Pay now to avoid cutoff."
ham,"The company picnic is next month. Save the date and bring your family!"
spam,"You've won a free laptop! Just pay $29.99 shipping to receive your prize."
ham,"I've reviewed the budget and we have room for the additional resources you requested."
spam,"Your email account has been selected for closure. Click here to appeal the decision."
ham,"Thanks for joining the call yesterday. Your insights were very valuable."
spam,"FINAL WARNING: Your domain registration expires today! Renew now or lose your website."
ham,"The training session went well. I've attached the materials for those who couldn't attend."
spam,"Your bank account shows unusual activity! Verify these transactions or we'll freeze your account."
ham,"I've updated my contact information. Please use my new phone number going forward."
spam,"CONGRATULATIONS! You've been pre-approved for a mortgage with no down payment needed!"
ham,"The weekly status report is attached. Let me know if you have any questions."
spam,"Your smartphone has a virus! Click here to scan and remove 23 malicious files."
ham,"I'll bring coffee and donuts to tomorrow's early meeting. See you all at 8 AM!"
spam,"URGENT: Your water bill is severely past due. Pay immediately to avoid service interruption."
ham,"Thanks for recommending that book. I just finished it and found it very insightful."
spam,"You've won $50,000 in our scratch-off lottery! Click to claim your winnings now."
ham,"I've organized all the project files in the shared folder. Everything should be easy to find now."
spam,"Your online banking has been disabled! Reactivate immediately by verifying your information."
ham,"The client feedback was overwhelmingly positive. Great job on the presentation!"
spam,"FREE TRIAL: Lose 40 pounds in 30 days with our miracle supplement. No diet or exercise needed!"
ham,"I'll be in late tomorrow morning due to a doctor's appointment. Should be in by 10 AM."
spam,"Your email account will be closed permanently! Click here within 1 hour to prevent deletion."
ham,"Thanks for all your hard work on this project. We couldn't have done it without you!"
spam,"ALERT: Your car's extended warranty is expiring! This is your final opportunity to renew."
ham,"The performance bonus information will be distributed next week. Thanks for a great quarter!"
spam,"Your Instagram will be permanently deleted! Verify your account now to save your photos."
ham,"I've prepared a summary of the key action items from today's meeting. Let me know if I missed anything."
spam,"URGENT: Your tax audit is scheduled! Click here to resolve issues and avoid penalties."
ham,"Thanks again for covering my shift last week. I really appreciate your help!"
spam,"You've been selected for a $5000 Target shopping spree! Claim within 6 hours or lose it."
ham,"The team building event was a huge success. Thanks to everyone who participated!"
spam,"Your computer needs critical updates! Download now or face security vulnerabilities."
ham,"I've finalized the contract and sent it to the client. Waiting for their signature."
spam,"CONGRATULATIONS! You've won a luxury car worth $80,000! Click to see if it's yours."
ham,"The project review meeting is next Friday. Please prepare your section of the presentation."
spam,"Your Gmail storage is 100% full! Upgrade now to premium or lose all your emails."
ham,"Thanks for the great teamwork this year. Looking forward to more successful projects ahead!"
spam,"FINAL NOTICE: Your streaming service payment failed! Update billing info immediately."
ham,"I've booked the flights and hotel for the conference. All the details are in the attached itinerary."
spam,"Your phone bill shows suspicious charges! Click here to dispute and get a full refund."
ham,"The new employee handbook is ready. I'll distribute copies at next week's orientation."
spam,"You've inherited a fortune! Contact our law firm immediately to claim your $8 million estate."
ham,"Thanks for the introduction to your colleague. We had a great conversation about potential collaboration."
spam,"URGENT: Your Medicare benefits are ending! Enroll in new plan today to maintain coverage."
ham,"I've reviewed all the proposals and compiled my recommendations. Let's discuss tomorrow."
spam,"Your WiFi router has been hacked! Download our security app now to protect your network."
ham,"The client has approved the project! We can proceed with the next phase. Great news!"
spam,"You've won a free vacation to Disney World! Just pay $299 in taxes and fees to book."
ham,"I'll be working from the branch office next week. Feel free to email me if you need anything."
spam,"ALERT: Your credit card has been charged $899! Click here if you didn't authorize this."
ham,"Thanks for your contribution to the charity drive. Together we made a real difference."
spam,"Your student loan payments can be reduced to $0! See if you qualify for forgiveness program."
ham,"The annual review process begins next month. Please start gathering your accomplishments."
spam,"URGENT: Your account shows fraudulent activity! Confirm your identity within 2 hours."
ham,"I've updated the employee directory with everyone's current contact information."
spam,"You've been approved for unemployment compensation! Click to receive your benefits now."
ham,"Thanks for being such a great team player. Your positive attitude makes a big difference."
spam,"Your computer's warranty expires today! Extend coverage now for only $499 per year."
ham,"The safety training is mandatory for all employees. Please complete it by the end of the week."
spam,"FINAL CHANCE: Your Social Security number needs verification! Respond now to avoid suspension."
ham,"I've organized the client files and updated the database. Everything is current now."
spam,"You've won an all-expense-paid trip to Hawaii! Click here to book your free vacation."
ham,"Thanks for staying late to help meet the deadline. Your dedication is truly appreciated."
spam,"Your online purchase couldn't be completed! Click here to retry payment and receive your order."
ham,"The project went live this morning and everything is running smoothly. Excellent work everyone!"
spam,"URGENT: Your license plate has unpaid tolls! Pay now to avoid additional fines."
ham,"I've scheduled the training sessions for next month. Calendar invites are going out today."
spam,"Your email quota has been exceeded! Upgrade to unlimited storage for only $9.99/month."
ham,"Thanks for the thoughtful feedback. I'll implement your suggestions in the next version."
spam,"CONGRATULATIONS! You're entitled to a tax refund of $4,785! Click to claim immediately."
ham,"The office renovation is complete. The new layout looks great and should improve productivity."
spam,"Your Amazon order couldn't be delivered! Click here to pay redelivery fee of $4.95."
ham,"I've backed up all the important files before the system maintenance. We're all set."
spam,"ALERT: Your personal information has been found on the dark web! Protect yourself now."
ham,"Thanks for your patience during the transition to the new system. It's all working now."
spam,"You've won a $2000 Best Buy gift card! Complete this survey to claim your prize."
ham,"The quarterly results exceeded our expectations. Thanks to everyone for the hard work!"
spam,"Your credit score can increase by 200 points! Click here to learn this one weird trick."
ham,"I've prepared the onboarding materials for the new team members starting next week."
spam,"URGENT: Your vehicle insurance is being cancelled! Renew within 24 hours to maintain coverage."
ham,"Thanks for the great suggestion. I implemented it and it's working perfectly."
spam,"Your Netflix account has expired! Click here to renew and continue watching your shows."
ham,"The team building workshop was very productive. I think we'll see great results from it."
spam,"You've been selected for a secret shopper job! Earn $400 per week working from home."
ham,"I've reviewed the timeline and we're ahead of schedule. Keep up the excellent work!"
spam,"FINAL WARNING: Your website hosting expires in 24 hours! Renew now or site goes down."
ham,"Thanks for your mentorship and guidance. I've grown so much professionally working with you."
spam,"Your credit report shows errors costing you thousands! Fix them now for free."
ham,"The client meeting is confirmed for next Wednesday at 2 PM. I'll send the agenda soon."
spam,"URGENT: Your email will be permanently deleted! Verify within 30 minutes to save it."
ham,"I've completed the analysis you requested. The results are better than we expected!"
spam,"You've won a brand new car! Just pay $199 processing fee to claim your prize."
ham,"Thanks for your cooperation during the audit. Everything went smoothly thanks to your preparation."
spam,"Your computer is critically slow! Download our speed booster for instant improvement."
ham,"The project kickoff is next Monday. I've prepared all the materials and sent calendar invites."
spam,"CONGRATULATIONS! You qualify for $10,000 in government assistance! Apply now."
ham,"I'll be taking next week off. John will be covering my responsibilities while I'm away."
spam,"Your Facebook account shows suspicious login! Change your password now to secure it."
ham,"Thanks for the valuable input on the strategy. Your experience really helped shape our approach."
spam,"URGENT: Your power bill is past due! Pay immediately or service disconnects today."
ham,"The new software rollout is scheduled for next month. Training sessions will be announced soon."
spam,"You've been approved for disability benefits! Click here to see your monthly payment amount."
ham,"I've organized the files and archived the old projects. The shared drive is much cleaner now."
spam,"Your iPhone has been hacked by foreign agents! Install our protection app immediately."
ham,"Thanks for being so responsive. Your quick replies really help keep projects moving forward."
spam,"FINAL NOTICE: Claim your inheritance of $15 million! Contact our office immediately."
ham,"The annual company party is December 20th. More details to follow. Save the date!"
spam,"Your email password has been compromised! Reset it now before hackers access your account."
ham,"I've reviewed your proposal and think it's excellent. Let's discuss implementation tomorrow."
spam,"You've won the lottery! Claim your $50 million jackpot within 48 hours or forfeit."
ham,"Thanks for your hard work and dedication. The project's success is thanks to efforts like yours."
spam,"URGENT: Your bank account will be closed! Verify your information immediately to prevent this."
ham,"The team meeting went well. I've distributed the notes and action items to everyone."
spam,"Your Netflix subscription needs updating! Click here to verify payment method now."
ham,"I've finished the report and it's ready for your review. Let me know if you need any changes."
spam,"ALERT: Your computer has 247 critical errors! Download fix tool now before it crashes."
ham,"Thanks for the opportunity to work on this project. I learned a lot and really enjoyed it."
spam,"You've been pre-selected for a $25,000 personal loan! No credit check, instant approval!"
ham,"The client presentation has been rescheduled to next Friday at 3 PM. Please update your calendar."
spam,"Your Google account will be deleted permanently! Click here within 1 hour to prevent loss."
ham,"I've updated the contact list with all the new team members. Everyone should have access now."
spam,"CONGRATULATIONS! You've won free Bitcoin worth $50,000! Claim your crypto now."
ham,"Thanks for covering that client call for me. I really appreciate your flexibility and help."
spam,"Your smartphone is eligible for free upgrade! Get latest iPhone for $0 down payment."
ham,"The project documentation is complete and has been uploaded to the repository."
spam,"URGENT: Your email storage is 99% full! Delete files now or upgrade to premium."
ham,"I've scheduled the training for next Tuesday. All the necessary materials are prepared."
spam,"Your Amazon Prime is expiring! Renew now to keep free shipping and streaming benefits."
ham,"Thanks for your support during this challenging project. We made a great team!"
spam,"FINAL WARNING: Your credit card has been compromised! Verify transactions immediately."
ham,"The quarterly business review is next month. Please start preparing your department's report."
spam,"You've inherited property worth millions! Pay legal fee of $500 to claim your estate."
ham,"I've reviewed the contract and everything looks good. We're ready to move forward."
spam,"Your computer warranty expires tomorrow! Extend now or pay full price for repairs."
ham,"Thanks for the great collaboration. This project wouldn't have succeeded without your expertise."
spam,"URGENT: IRS has filed a lawsuit against you! Call this number immediately to settle."
ham,"The office will be closed on Monday for the holiday. Enjoy your long weekend!"
spam,"You've been selected for clinical drug trial! Earn $10,000 for participating."
ham,"I've completed the analysis and the findings are very interesting. Let's discuss tomorrow."
spam,"Your email account has been hacked! Change password now before you lose everything."
ham,"Thanks for your patience while we worked through the technical difficulties. All fixed now!"
spam,"CONGRATULATIONS! You've won a trip to Las Vegas! Book your free stay now."
ham,"The project is progressing well and we're on track to meet all the milestones."
spam,"Your Social Security benefits are being suspended! Appeal immediately to continue payments."
ham,"I've set up the new filing system. Everything is organized and easy to find now."
spam,"URGENT: Your email will be closed! Click here within 2 hours to keep it active."
ham,"Thanks for the introduction. The meeting went great and we're exploring a partnership."
spam,"Your computer needs immediate virus removal! Download our antivirus for free scan."
ham,"The team lunch is at noon on Friday. We're going to that new Mexican restaurant."
spam,"You've won $100,000 from Microsoft! Click here to claim your winnings immediately."
ham,"I've updated the project timeline based on the new requirements. Please review when you can."
spam,"FINAL NOTICE: Your car insurance expires today! Renew now to avoid coverage lapse."
ham,"Thanks for always being willing to help others. Your team spirit is truly appreciated."
spam,"Your PayPal payment of $899 is pending! Click here to approve or cancel transaction."
ham,"The training materials are ready and have been uploaded to the learning portal."
spam,"URGENT: Your tax return has errors! Amend now to receive your refund of $5200."
ham,"I've reviewed your work and it's excellent. This is exactly what we needed. Great job!"
spam,"You've been approved for food assistance! Click to see how much you'll receive monthly."
ham,"The new procedures are now in effect. Please review the updated documentation."
spam,"Your online account has been locked! Unlock immediately by verifying your identity."
ham,"Thanks for staying after hours to help with the presentation. It made all the difference."
spam,"CONGRATULATIONS! You qualify for $50,000 government grant! No repayment required."
ham,"I've scheduled the follow-up meeting for next week. Looking forward to continuing our discussion."
spam,"Your computer is critically infected! Click here to remove virus before it's too late."
ham,"The project has been successfully completed and delivered. Thanks to everyone involved!"
spam,"URGENT: Your electricity will be shut off today! Pay your bill now to avoid disconnection."
ham,"I've prepared the agenda for tomorrow's meeting. Let me know if you want to add anything else."
spam,"Your credit score has dropped 200 points! Click here to find out why and fix it fast."
ham,"Thanks for your continued excellence and professionalism. You're a valuable team member!"
spam,"You've won a free cruise to the Caribbean! Just pay port fees of $499 to book."
ham,"The system maintenance is complete and everything is back online. Thanks for your patience."
spam,"FINAL CHANCE: Your domain name expires in 24 hours! Renew now or lose it forever."
ham,"I've organized the client files and everything is up to date in the system now."
spam,"Your Amazon account has suspicious orders! Click here to review and cancel them."
ham,"Thanks for the great feedback on the presentation. I'll incorporate your suggestions."
spam,"URGENT: Your bank card will be blocked! Verify your identity within 6 hours."
ham,"The annual review process is starting next month. Please schedule time with your manager."
spam,"You've won $25,000 in cash! Claim your prize before midnight or lose it."
ham,"I've completed the research you requested. The full report is attached to this email."
spam,"Your email is over quota! Upgrade now to unlimited storage or lose old messages."
ham,"Thanks for being such a reliable team member. I can always count on you to deliver!"
