date,temperature,humidity
2022-06-18,35.9,21
2022-06-19,35.4,23
2022-06-20,36.3,20
2022-06-21,37.4,18
2022-06-22,38.2,16
2022-06-23,37.9,17
2022-06-24,37.1,20
2022-06-25,36.5,22
2022-06-26,37.2,19
2022-06-27,38.1,17
2022-06-28,38.8,16
2022-06-29,38.4,17
2022-06-30,37.7,20
2022-07-01,37.2,22
2022-07-02,38.0,19
2022-07-03,38.9,17
2022-07-04,39.5,16
2022-07-05,39.1,17
2022-07-06,38.4,20
2022-07-07,37.9,22
2022-07-08,38.7,19
2022-07-09,39.6,17
2022-07-10,40.2,16
2022-07-11,39.8,17
2022-07-12,39.1,20
2022-07-13,38.6,22
2022-07-14,39.4,19
2022-07-15,40.3,17
2022-07-16,40.9,16
2022-07-17,40.5,17
2022-07-18,39.8,20
2022-07-19,39.3,22
2022-07-20,40.1,19
2022-07-21,41.0,17
2022-07-22,41.6,16
2022-07-23,41.2,17
2022-07-24,40.5,20
2022-07-25,40.0,22
2022-07-26,40.8,19
2022-07-27,41.7,17
2022-07-28,42.3,16
2022-07-29,41.9,17
2022-07-30,41.2,20
2022-07-31,40.7,22
2022-08-01,41.5,19
2022-08-02,42.1,17
2022-08-03,41.8,18
2022-08-04,41.1,21
2022-08-05,40.6,23
2022-08-06,41.3,20
2022-08-07,42.0,18
2022-08-08,41.7,19
2022-08-09,41.0,22
2022-08-10,40.5,24
2022-08-11,41.2,21
2022-08-12,41.9,19
2022-08-13,41.6,20
2022-08-14,40.9,23
2022-08-15,40.4,25
2022-08-16,41.1,22
2022-08-17,41.8,20
2022-08-18,41.5,21
2022-08-19,40.8,24
2022-08-20,40.3,26
2022-08-21,41.0,23
2022-08-22,41.7,21
2022-08-23,41.4,22
2022-08-24,40.7,25
2022-08-25,40.2,27
2022-08-26,39.5,29
2022-08-27,38.9,31
2022-08-28,39.6,28
2022-08-29,40.3,26
2022-08-30,40.0,27
2022-08-31,39.3,30
2022-09-01,38.8,32
2022-09-02,38.1,34
2022-09-03,37.5,36
2022-09-04,38.2,33
2022-09-05,38.9,31
2022-09-06,38.6,32
2022-09-07,37.9,35
2022-09-08,37.4,37
2022-09-09,36.7,39
2022-09-10,36.1,41
2022-09-11,36.8,38
2022-09-12,37.5,36
2022-09-13,37.2,37
2022-09-14,36.5,40
2022-09-15,36.0,42
2022-09-16,35.3,44
2022-09-17,34.7,46
2022-09-18,35.4,43
2022-09-19,36.1,41
2022-09-20,35.8,42
2022-09-21,35.1,45
2022-09-22,34.6,47
2022-09-23,33.9,49
2022-09-24,33.3,51
2022-09-25,34.0,48
2022-09-26,34.7,46
2022-09-27,34.4,47
2022-09-28,33.7,50
2022-09-29,33.2,52
2022-09-30,32.5,54
2022-10-01,31.9,56
2022-10-02,32.6,53
2022-10-03,33.3,51
2022-10-04,33.0,52
2022-10-05,32.3,55
2022-10-06,31.8,57
2022-10-07,31.1,59
2022-10-08,30.5,61
2022-10-09,31.2,58
2022-10-10,31.9,56
2022-10-11,31.6,57
2022-10-12,30.9,60
2022-10-13,30.4,62
2022-10-14,29.7,64
2022-10-15,29.1,66
2022-10-16,29.8,63
2022-10-17,30.5,61
2022-10-18,30.2,62
2022-10-19,29.5,65
2022-10-20,29.0,67
2022-10-21,28.3,69
2022-10-22,27.7,71
2022-10-23,28.4,68
2022-10-24,29.1,66
2022-10-25,28.8,67
2022-10-26,28.1,70
2022-10-27,27.6,72
2022-10-28,26.9,74
2022-10-29,26.3,76
2022-10-30,27.0,73
2022-10-31,27.7,71
2022-11-01,27.4,72
2022-11-02,26.7,75
2022-11-03,26.2,77
2022-11-04,25.5,79
2022-11-05,24.9,81
2022-11-06,25.6,78
2022-11-07,26.3,76
2022-11-08,26.0,77
2022-11-09,25.3,80
2022-11-10,24.8,82
2022-11-11,24.1,84
2022-11-12,23.5,86
2022-11-13,24.2,83
2022-11-14,24.9,81
2022-11-15,24.6,82
2022-11-16,23.9,85
2022-11-17,23.4,87
2022-11-18,22.7,89
2022-11-19,22.1,91
2022-11-20,22.8,88
2022-11-21,23.5,86
2022-11-22,23.2,87
2022-11-23,22.5,90
2022-11-24,22.0,92
2022-11-25,21.3,94
2022-11-26,20.7,95
2022-11-27,21.4,92
2022-11-28,22.1,90
2022-11-29,21.8,91
2022-11-30,21.1,94
2022-12-01,20.6,95
2022-12-02,19.9,96
2022-12-03,19.3,97
2022-12-04,20.0,94
2022-12-05,20.7,92
2022-12-06,20.4,93
2022-12-07,19.7,95
2022-12-08,19.2,96
2022-12-09,18.5,97
2022-12-10,17.9,98
2022-12-11,18.6,95
2022-12-12,19.3,93
2022-12-13,19.0,94
2022-12-14,18.3,96
2022-12-15,17.8,97
2022-12-16,17.1,98
2022-12-17,16.5,99
2022-12-18,17.2,96
2022-12-19,17.9,94
2022-12-20,17.6,95
2022-12-21,16.9,97
2022-12-22,16.4,98
2022-12-23,15.7,99
2022-12-24,15.1,100
2022-12-25,15.8,97
2022-12-26,16.5,95
2022-12-27,16.2,96
2022-12-28,15.5,98
2022-12-29,15.0,99
2022-12-30,14.3,100
2022-12-31,13.7,100
2023-01-01,4.1,76
2023-01-02,3.5,80
2023-01-03,5.2,72
2023-01-04,6.0,68
2023-01-05,4.7,73
2023-01-06,3.3,79
2023-01-07,2.6,84
2023-01-08,4.1,77
2023-01-09,5.5,70
2023-01-10,6.7,64
2023-01-11,7.0,62
2023-01-12,6.5,66
2023-01-13,5.1,72
2023-01-14,3.9,77
2023-01-15,3.6,79
2023-01-16,5.0,73
2023-01-17,6.4,67
2023-01-18,7.6,62
2023-01-19,7.9,60
2023-01-20,7.3,64
2023-01-21,6.0,69
2023-01-22,5.5,72
2023-01-23,4.4,76
2023-01-24,3.5,81
2023-01-25,4.6,75
2023-01-26,6.1,69
2023-01-27,7.5,63
2023-01-28,8.2,59
2023-01-29,8.7,56
2023-01-30,8.0,61
2023-01-31,6.9,66
2023-02-01,6.2,70
2023-02-02,5.7,73
2023-02-03,4.9,76
2023-02-04,6.5,68
2023-02-05,7.7,62
2023-02-06,9.0,57
2023-02-07,9.6,54
2023-02-08,8.9,58
2023-02-09,8.1,63
2023-02-10,7.4,67
2023-02-11,6.6,71
2023-02-12,7.2,66
2023-02-13,8.4,60
2023-02-14,9.7,55
2023-02-15,10.3,52
2023-02-16,9.9,54
2023-02-17,9.1,59
2023-02-18,8.3,63
2023-02-19,7.7,67
2023-02-20,8.6,61
2023-02-21,9.5,56
2023-02-22,10.4,53
2023-02-23,11.0,50
2023-02-24,10.6,52
2023-02-25,9.7,57
2023-02-26,9.0,61
2023-02-27,8.5,64
2023-02-28,9.2,59
2023-03-01,10.1,55
2023-03-02,11.3,51
2023-03-03,12.0,48
2023-03-04,11.6,50
2023-03-05,10.7,54
2023-03-06,10.0,57
2023-03-07,10.9,53
2023-03-08,12.2,49
2023-03-09,13.1,46
2023-03-10,13.7,44
2023-03-11,13.2,46
2023-03-12,12.4,50
2023-03-13,11.6,53
2023-03-14,12.5,49
2023-03-15,13.6,45
2023-03-16,14.5,42
2023-03-17,15.0,40
2023-03-18,14.7,42
2023-03-19,13.9,45
2023-03-20,13.3,48
2023-03-21,14.1,44
2023-03-22,15.3,41
2023-03-23,16.2,38
2023-03-24,16.7,36
2023-03-25,16.4,38
2023-03-26,15.6,41
2023-03-27,15.0,44
2023-03-28,15.9,40
2023-03-29,17.0,37
2023-03-30,17.9,34
2023-03-31,18.3,33
2023-04-01,18.0,35
2023-04-02,17.3,38
2023-04-03,17.7,36
2023-04-04,18.6,33
2023-04-05,19.4,31
2023-04-06,20.1,29
2023-04-07,20.6,28
2023-04-08,20.2,30
2023-04-09,19.5,33
2023-04-10,19.0,35
2023-04-11,19.9,32
2023-04-12,21.1,29
2023-04-13,22.0,27
2023-04-14,22.5,26
2023-04-15,22.1,27
2023-04-16,21.4,30
2023-04-17,20.9,32
2023-04-18,21.8,29
2023-04-19,22.9,26
2023-04-20,23.7,24
2023-04-21,24.2,23
2023-04-22,23.8,25
2023-04-23,23.1,28
2023-04-24,22.6,30
2023-04-25,23.5,27
2023-04-26,24.6,25
2023-04-27,25.4,23
2023-04-28,25.9,22
2023-04-29,25.5,23
2023-04-30,24.8,26
2023-05-01,24.3,28
2023-05-02,25.2,25
2023-05-03,26.3,23
2023-05-04,27.1,21
2023-05-05,27.6,20
2023-05-06,27.2,22
2023-05-07,26.5,25
2023-05-08,26.0,27
2023-05-09,26.9,24
2023-05-10,28.0,22
2023-05-11,28.8,20
2023-05-12,29.3,19
2023-05-13,28.9,21
2023-05-14,28.2,24
2023-05-15,27.7,26
2023-05-16,28.6,23
2023-05-17,29.7,21
2023-05-18,30.5,19
2023-05-19,31.0,18
2023-05-20,30.6,20
2023-05-21,29.9,23
2023-05-22,29.4,25
2023-05-23,30.3,22
2023-05-24,31.4,20
2023-05-25,32.2,18
2023-05-26,32.7,17
2023-05-27,32.3,19
2023-05-28,31.6,22
2023-05-29,31.1,24
2023-05-30,32.0,21
2023-05-31,33.1,19
2023-06-01,33.9,17
2023-06-02,34.4,16
2023-06-03,34.0,18
2023-06-04,33.3,21
2023-06-05,32.8,23
2023-06-06,33.7,20
2023-06-07,34.8,18
2023-06-08,35.6,16
2023-06-09,36.1,15
2023-06-10,35.7,17
2023-06-11,35.0,20
2023-06-12,34.5,22
2023-06-13,35.4,19
2023-06-14,36.5,17
2023-06-15,37.3,15
2023-06-16,37.8,14
2023-06-17,37.4,16
2023-06-18,36.7,19
2023-06-19,36.2,21
2023-06-20,37.1,18
2023-06-21,38.2,16
2023-06-22,39.0,14
2023-06-23,38.7,15
2023-06-24,37.9,18
2023-06-25,37.3,20
2023-06-26,38.0,17
2023-06-27,38.9,15
2023-06-28,39.6,14
2023-06-29,39.2,15
2023-06-30,38.5,18
2023-07-01,38.0,20
2023-07-02,38.8,17
2023-07-03,39.7,15
2023-07-04,40.3,14
2023-07-05,39.9,15
2023-07-06,39.2,18
2023-07-07,38.7,20
2023-07-08,39.5,17
2023-07-09,40.4,15
2023-07-10,41.0,14
2023-07-11,40.6,15
2023-07-12,39.9,18
2023-07-13,39.4,20
2023-07-14,40.2,17
2023-07-15,41.1,15
2023-07-16,41.7,14
2023-07-17,41.3,15
2023-07-18,40.6,18
2023-07-19,40.1,20
2023-07-20,40.9,17
2023-07-21,41.8,15
2023-07-22,42.4,14
2023-07-23,42.0,15
2023-07-24,41.3,18
2023-07-25,40.8,20
2023-07-26,41.6,17
2023-07-27,42.5,15
2023-07-28,43.1,14
2023-07-29,42.7,15
2023-07-30,42.0,18
2023-07-31,41.5,20
2023-08-01,42.3,17
2023-08-02,42.9,15
2023-08-03,42.6,16
2023-08-04,41.9,19
2023-08-05,41.4,21
2023-08-06,42.1,18
2023-08-07,42.8,16
2023-08-08,42.5,17
2023-08-09,41.8,20
2023-08-10,41.3,22
2023-08-11,42.0,19
2023-08-12,42.7,17
2023-08-13,42.4,18
2023-08-14,41.7,21
2023-08-15,41.2,23
2023-08-16,41.9,20
2023-08-17,42.6,18
2023-08-18,42.3,19
2023-08-19,41.6,22
2023-08-20,41.1,24
2023-08-21,41.8,21
2023-08-22,42.5,19
2023-08-23,42.2,20
2023-08-24,41.5,23
2023-08-25,41.0,25
2023-08-26,40.3,27
2023-08-27,39.7,29
2023-08-28,40.4,26
2023-08-29,41.1,24
2023-08-30,40.8,25
2023-08-31,40.1,28
2023-09-01,39.6,30
2023-09-02,38.9,32
2023-09-03,38.3,34
2023-09-04,39.0,31
2023-09-05,39.7,29
2023-09-06,39.4,30
2023-09-07,38.7,33
2023-09-08,38.2,35
2023-09-09,37.5,37
2023-09-10,36.9,39
2023-09-11,37.6,36
2023-09-12,38.3,34
2023-09-13,38.0,35
2023-09-14,37.3,38
2023-09-15,36.8,40
2023-09-16,36.1,42
2023-09-17,35.5,44
2023-09-18,36.2,41
2023-09-19,36.9,39
2023-09-20,36.6,40
2023-09-21,35.9,43
2023-09-22,35.4,45
2023-09-23,34.7,47
2023-09-24,34.1,49
2023-09-25,34.8,46
2023-09-26,35.5,44
2023-09-27,35.2,45
2023-09-28,34.5,48
2023-09-29,34.0,50
2023-09-30,33.3,52
2023-10-01,32.7,54
2023-10-02,33.4,51
2023-10-03,34.1,49
2023-10-04,33.8,50
2023-10-05,33.1,53
2023-10-06,32.6,55
2023-10-07,31.9,57
2023-10-08,31.3,59
2023-10-09,32.0,56
2023-10-10,32.7,54
2023-10-11,32.4,55
2023-10-12,31.7,58
2023-10-13,31.2,60
2023-10-14,30.5,62
2023-10-15,29.9,64
2023-10-16,30.6,61
2023-10-17,31.3,59
2023-10-18,31.0,60
2023-10-19,30.3,63
2023-10-20,29.8,65
2023-10-21,29.1,67
2023-10-22,28.5,69
2023-10-23,29.2,66
2023-10-24,29.9,64
2023-10-25,29.6,65
2023-10-26,28.9,68
2023-10-27,28.4,70
2023-10-28,27.7,72
2023-10-29,27.1,74
2023-10-30,27.8,71
2023-10-31,28.5,69
2023-11-01,28.2,70
2023-11-02,27.5,73
2023-11-03,27.0,75
2023-11-04,26.3,77
2023-11-05,25.7,79
2023-11-06,26.4,76
2023-11-07,27.1,74
2023-11-08,26.8,75
2023-11-09,26.1,78
2023-11-10,25.6,80
2023-11-11,24.9,82
2023-11-12,24.3,84
2023-11-13,25.0,81
2023-11-14,25.7,79
2023-11-15,25.4,80
2023-11-16,24.7,83
2023-11-17,24.2,85
2023-11-18,23.5,87
2023-11-19,22.9,89
2023-11-20,23.6,86
2023-11-21,24.3,84
2023-11-22,24.0,85
2023-11-23,23.3,88
2023-11-24,22.8,90
2023-11-25,22.1,92
2023-11-26,21.5,94
2023-11-27,22.2,91
2023-11-28,22.9,89
2023-11-29,22.6,90
2023-11-30,21.9,93
2023-12-01,21.4,94
2023-12-02,20.7,95
2023-12-03,20.1,96
2023-12-04,20.8,93
2023-12-05,21.5,91
2023-12-06,21.2,92
2023-12-07,20.5,94
2023-12-08,20.0,95
2023-12-09,19.3,96
2023-12-10,18.7,97
2023-12-11,19.4,94
2023-12-12,20.1,92
2023-12-13,19.8,93
2023-12-14,19.1,95
2023-12-15,18.6,96
2023-12-16,17.9,97
2023-12-17,17.3,98
2023-12-18,18.0,95
2023-12-19,18.7,93
2023-12-20,18.4,94
2023-12-21,17.7,96
2023-12-22,17.2,97
2023-12-23,16.5,98
2023-12-24,15.9,99
2023-12-25,16.6,96
2023-12-26,17.3,94
2023-12-27,17.0,95
2023-12-28,16.3,97
2023-12-29,15.8,98
2023-12-30,15.1,99
2023-12-31,14.5,100
